,분류,공연/행사명,날짜/시간,장소,이용대상,이용요금,홈페이지?주소,대표이미지,유무료
1035,교육/체험,[서울우리소리박물관] 2025 상반기 유아 전통문화체험 [우리소리랑 놀자],2025-02-24~2025-03-28,서울우리소리박물관 1층 누마루 및 후원,유아 단체,,https://museum.seoul.go.kr/sekm/front/edu/programView.do?currentPage=1&search_query=&e_id=100&locale=KO&typ=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=efe9aa3c6367429f9a0c05d946730459&thumb=Y,무료
1036,기타,[서울시] 2025년 서울청년문화패스 신청자 모집,2025-02-24~2025-03-18,온라인 접수,20~23세 서울 거주 청년,,https://youth.seoul.go.kr/youthConts.do?key=2310200023&sc_pbancSeCd=005&sc_bbsStngSn=2212200001&sc_bbsCtgrySn=2310200005&sc_qnaCtgryCd=&sc_faqCtgryCd=002,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=00988b019a45466b97984c185e6c6b4d&thumb=Y,무료
1037,교육/체험,[도봉문화원] 2025. 편지 쓰는 날 [2월의 편지 주간: 애정을 담아 보내는 편지],2025-02-24~2025-02-28,도봉구민회관 1층 편지문학관 전시실 및 프로그램실,누구나,,https://letter.dobong.or.kr/forum/ilban-gesipan/2025-pyeonji-sseuneun-nal-2weolyi-pyeonji-jugan-aejeongeul-dama-bonaeneun-pyeonji-sinceong-annae,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=513542b652414425aa048eb63caacb2f&thumb=Y,무료
1038,교육/체험,[서초문화원] 서초문화대학 2025년 2월 원데이클래스,2025-02-24~2025-02-27,서초문화원,관심있는 누구나,,http://socc.or.kr/bbs/board.php?bo_table=sub05_01&wr_id=343,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=5e2f53c0453148ac90fac9d8f35c4859&thumb=Y,무료
1039,클래식,손유정 오보에 독주회,2025-02-24~2025-02-24,금호아트홀연세,미취학아동 입장불가,"전석 20,000원",https://www.kumhoarthall.com:448/designer/skin/01/detail.html?p_idx=24810&s_idx=11&vwY=2025&vwM=&se_idx=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=05fb5f9f13eb4d749c3cf230ba32e8ec&thumb=Y,유료
1040,클래식,소프라노 여나현 독창회,2025-02-24~2025-02-24,세종문화회관 체임버홀,초등학생 이상,"전석 20,000원",https://blog.naver.com/clara32/223754975676,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=3b13a40fe95e4fe789372347dc7e9e25&thumb=Y,유료
1041,교육/체험,[서울생활문화센터 서교] 해설이 있는 햄릿 낭독회,2025-02-23~2025-02-27,서울생활문화센터 서교 연습실2,관심있는 누구나,,https://seogyocenter.or.kr/programall/?idx=502,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=226e16fbaba044b788fe78753127bef1&thumb=Y,무료
1042,클래식,아트파파라치 - Chasing the Stars [반고흐의 Playlist],2025-02-23~2025-02-23,예술의전당 IBK기업은행챔버홀,초등학생 이상 관람가," R석 50,000원, S석 40,000원",https://blog.naver.com/clara32/223727638647,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=f4f509a2b7a74a8a89638aaf881115c0&thumb=Y,유료
1043,독주/독창회,전세윤 피아노 독주회,2025-02-23~2025-02-23,금호아트홀 연세,초등학생 이상,"전석 20,000원",https://blog.naver.com/clara32/223734496928,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ebad546da34746f6a6cb13aaf37ed81f&thumb=Y,유료
1044,교육/체험,[서울무형유산교육전시장] 일일체험 | 전통주 일일체험 - 석탄주 빚기,2025-02-22~2025-04-26,서울무형유산교육전시장,관심있는 누구나(6명),"50,000원",http://seoulmaster.co.kr/bbs/board.php?bo_table=lecture&wr_id=143&sca=%EC%9D%BC%EC%9D%BC%EC%B2%B4%ED%97%98,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=fea9e115ebc64d5bb2272cc3b3dd35e4&thumb=Y,유료
1045,뮤지컬/오페라,어린이환경뮤지컬 [지구기숙학교],2025-02-22~2025-02-23,서울성북미디어문화마루 4층 꿈빛극장,"초등학교 1학년(25년3월기준) 이상. 어린이,청소년 등 가족대상",전석무료,https://event-us.kr/nalja/event/96398,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=7378d3d954924f99a444d284528398cb&thumb=Y,무료
1046,교육/체험,[서울공예박물관] 비밀요원 CMI: 밤이와 함께 비밀코드를 해결하라!_2월,2025-02-22~2025-02-22,"서울공예박물관 전시1동, 전시2동, 전시3동",초등학교 1~2학년 어린이 동반한 가족(5팀),,https://craftmuseum.seoul.go.kr/progrm/view/311,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=0ca68ca3f3394202975a1aae703669d8&thumb=Y,무료
1047,기타,[영등포아트스퀘어] 크로키키 브라더스,2025-02-22~2025-02-22,영등포아트스퀘어 스퀘어T,누구나,,https://ydpartsquare.com/%EA%B3%B5%EC%97%B0-%EC%A0%95%EB%B3%B4/view/5185492,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=d0d993fc74504a8381db098412dc478d&thumb=Y,무료
1048,클래식,트리오 스칼라 제2회 정기연주회,2025-02-22~2025-02-22,세종체임버홀,8세 이상 관람 가능 (2017년 이전 출생자),"전석 20,000원",https://www.sejongpac.or.kr/portal/performance/performance/performTicket.do?performIdx=35967&menuNo=200320,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=b8dc42359ddc403793fd60141158c532&thumb=Y,유료
1049,교육/체험,"문예북흥 No.12 정호승 - 시인 정호승, [슬픔이 택배로 왔다]로 택배 상자를 풀듯 시의 비밀을 풀다.",2025-02-22~2025-02-22,이호철북콘서트홀,누구나,"5,000원(선물과 간식 제공)",https://www.lbchmuseum.com/blank/mun-yebugheung-no-12-siin-jeonghoseung,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=f2ea31b5ad23489999f7501779a939cc&thumb=Y,유료
1050,교육/체험,[서울시립 북서울미술관] 관객참여 퍼포먼스 [러브-레터],2025-02-22~2025-02-22,서울시립 북서울미술관 2층 유휴공간,"누구나(어린이의 경우, 가족과 함께 참여 가능합니다.)",,https://sema.seoul.go.kr/kr/whatson/education/detail?acadmyEeNo=1359560,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=40f7558487574c0f8e4b41ab6a1ffd32&thumb=Y,무료
1051,교육/체험,[어린이청소년 국학도서관] 내일의 나 진로캠프,2025-02-22~2025-02-22,어린이청소년 국학도서관 세미나실,초등 4~6학년,,https://www.jfac.or.kr/site/main/program/educ_all_list_view?pgIdx=2355,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ca8b540fc85348b7b82ab7450abd95cb&thumb=Y,무료
1052,기타,[광진문화재단] 광진어린이공연장 [키크클럽] 멤버십 안내,2025-02-21~2025-04-04,광진어린이공연장,공연별 상세페이지 참고,"50,000원 (예매수수료 별도)",https://www.naruart.or.kr/exhibition/program_view.php?page=1&sch_tab=date&sch_year=2025&sch_month=01&idx=10149,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=4a4342e3ecdb40499ea2d827393b9aaa&thumb=Y,유료
1053,무용,[서울남산국악당] 서울교방 6인전: 독공독무(獨工獨舞),2025-02-21~2025-02-22,서울남산국악당,8세 이상 누구나,"전석 50,000원",https://www.hanokmaeul.or.kr/g/perf/category/984/2025/2,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=6b222e2d861b4bdcbc439ad81054e676&thumb=Y,유료
1054,무용,[강북문화재단] 안애순 컴퍼니 가족무용극 [어린 왕자],2025-02-21~2025-02-22,강북문화예술회관 강북소나무홀,누구나,"전석 30,000원",https://www.gbcf.or.kr/load.asp?subPage=110.View&page=1&idx=295,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=c6d29157558949beb44472f1edfd1fcd&thumb=Y,유료
1055,클래식,해설이 있는 권소영 바이올린 독주회 시리즈 IV,2025-02-21~2025-02-21,일신홀,초등학생이상 관람가,"전석 20,000원",https://blog.naver.com/clara32/223717544607,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=d2ea19e38b4c4e9eb2071e8d78dd0681&thumb=Y,유료
1056,전시/미술,갤러리 자유 : 노경화x최미정 2인전 [마음의 선들로 이어진 하나 : CIRCLE],2025-02-20~2025-03-23,갤러리 자유 ,누구나,무료 , https://blog.naver.com/galleryjayu,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=a1e26c6506894d778f3c9ed9cc024a81&thumb=Y,무료
1057,전시/미술,"[슈페리어갤러리] 영재, 풀림 [초록빛 시선]",2025-02-20~2025-03-12,슈페리어갤러리,누구나,,https://blog.naver.com/gallery3366/223766205413,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=2d084f1368af4506aa205b9bb15dbdea&thumb=Y,무료
1058,클래식,"[서울시립교향악단] 2025 서울시향 얍 판 츠베덴의 말러 교향곡 7번 ①, ②",2025-02-20~2025-02-21,롯데콘서트홀,초등학생이상 관람가,"R 120,000원 S 90,000원 A 60,000원 B 30,000원 C 10,000원",https://www.seoulphil.or.kr/perf/view?perfNo=6393&calendarDate=2025/02/20&langCd=ko&menuFlag=MFLG0001,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=115e33ef20d44507b3b5921ecadecfbb&thumb=Y,유료
1059,클래식,"[강북문화재단] 2025 마티네 콘서트 [이지클래식 : 겨울연가, 건축학 개론을 만나다]",2025-02-20~2025-02-20,강북문화예술회관 강북진달래홀,누구나,"전석 20,000원",https://www.gbcf.or.kr/load.asp?subPage=110.View&page=1&idx=294,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=b9ca84240913429ba5083f16e63db940&thumb=Y,유료
1060,국악,[삼청각] 수요 상설 공연,2025-02-19~2025-12-31,삼청각 일화당,전체관람가,"전석 60,000원 (VAT 포함) 공연 및 식사 포함",http://www.samcheonggak.or.kr/view/%EC%88%98%EC%9A%94%EC%83%81%EC%84%A4,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=5022f68bdb5a481d87251a0a40b39ea1&thumb=Y,유료
1061,교육/체험,[서울우리소리박물관] 2025 온라인 학교연계 [우리소리 꾸러미],2025-02-19~2025-04-30,각 기관,초등단체,,https://museum.seoul.go.kr/sekm/front/edu/programView.do?currentPage=1&search_query=&e_id=99&locale=KO&typ=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=624ebc916a4a40a588f9de9078668b97&thumb=Y,무료
1062,전시/미술,[세종뮤지엄갤러리] 정은희 기획초대전,2025-02-19~2025-03-02,세종대학교 대양AI센터 지하1층 세종뮤지엄갤러리,전체,,https://blog.naver.com/sejonggallery/223766551606,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=bc1c3e46b37b470eb858c81e0c7c8e66&thumb=Y,무료
1063,전시/미술,존 카터 코벨의 [한국불교와 그 미술전] [이순희 하지권 출판사진전],2025-02-19~2025-03-01,갤러리 인덱스,누구냐,,https://www.instagram.com/p/DGKVIipR06_/,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=d040a4b4eb494291b674ffd6b05db493&thumb=Y,무료
1064,교육/체험,[서울시립과학관] 2025 겨울방학 교육 프로그램 [2월 오늘 DO! Science],2025-02-19~2025-02-21,서울시립과학관 1층 4교육실,예비 초 5~6학년 (수업별 선착순 16명),"수업별 5,000원/1인",https://science.seoul.go.kr/program/science/read?menuId=14&progMstId=1039,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=1485875711af4d3a8950ff2fe8782a62&thumb=Y,유료
1065,클래식,남유리나 첼로 독주회,2025-02-19~2025-02-19,세라믹팔레스홀,초등학생 이상,"전석 20,000원",https://blog.naver.com/clara32/223726004237,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=5181febab9e84217bb0bc15ea67f4393&thumb=Y,유료
1066,클래식,이유빈 귀국 플루트 독주회,2025-02-19~2025-02-19,예술의전당 리사이틀홀,미취학아동 입장불가,"전석 20,000원",https://www.sac.or.kr/site/main/show/show_view?SN=73865,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=476e88fd3a694222959386e0b7c05cd3&thumb=Y,유료
1067,콘서트,[관악문화재단] 2025 관악아트홀 신년음악회 [관악화창(和唱)],2025-02-19~2025-02-19,관악아트홀 공연장,8세 이상,,https://gfac.or.kr/site/main/performance/PERFORMANCE/view/205,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=acb19d547bc246bb8c78c60b6ceefec2&thumb=Y,무료
1068,전시/미술,[관악문화재단] 2025 S1472 봄 특별전시 [SSS : 글자 사이로 걷는 봄],2025-02-18~2025-03-23,관천로 문화플랫폼 S1472,전연령,,https://gfac.or.kr/site/main/performance/EXHIBITION/view/207,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=a388fc7975f9444aac5be0928f15920a&thumb=Y,무료
1069,전시/미술,[서리풀청년아트갤러리] 이 전시장 몇평 인가요?,2025-02-18~2025-03-15,서리풀청년아트갤러리,전체관람가,,https://www.seochocf.or.kr/site/main/seocho/show/view?show_idx=808,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=be1f49b25a1744f5ad98b615aeba612b&thumb=Y,무료
1070,전시/미술,[관악문화재단] 관악아트홀 기획초청전시 [바람 맞으셨군요],2025-02-18~2025-03-15,관악아트홀 전시실,전연령,,https://gfac.or.kr/site/main/performance/EXHIBITION/view/209,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=2d2bca494d4e4a8c965c11cf98acf60d&thumb=Y,무료
1071,교육/체험,[서울시립 북서울미술관] 《투명하고 향기 나는 천사의 날개 빛깔처럼》 전시 연계 겨울방학 프로그램 [내가 빚는 천사의 향기],2025-02-18~2025-02-27,"서울시립 북서울미술관 B1 어린이갤러리, 스튜디오1",어린이 7세~10세,,https://sema.seoul.go.kr/kr/whatson/education/detail?acadmyEeNo=1373040,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=83b1472b07b84991968f8c147c065f68&thumb=Y,무료
1072,교육/체험,[서울백제어린이박물관] 유아와 양육자 대상 [뮤지엄 휴휴프로그램1] 키즈성장요가,2025-02-18~2025-02-27,서울백제어린이박물관 다목적실,5-7세 유아와 양육자,,https://baekjemuseum.seoul.go.kr/module/index.jsp?boardid=a&code=ED&mmode=content&mpid=SBM0402000000&pid=22511&strsearch=&d_s_que=&cpage=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=0e50294b2ae64dd49186e2588bfc738d&thumb=Y,무료
1073,국악,"[강북문화재단] 소리, 판, 유태평양 X 한웅원 밴드",2025-02-18~2025-02-18,강북문화예술회관 강북소나무홀,누구나,전석 2만원,https://www.gbcf.or.kr/load.asp?subPage=110.View&page=1&idx=292,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=d68764e702af4eb490d89b239ace981f&thumb=Y,유료
1074,전시/미술,[서리풀 휴(休) 갤러리] 잠들어 있는 사물을 깨우는 몇 가지 방법,2025-02-17~2025-03-15,"심산기념문화센터 B1, 서리풀 휴(休) 갤러리",전체 관람가,,https://www.seochocf.or.kr/site/main/seocho/show/view?show_idx=809,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=02a1611d8633443fa8ad810975f5d135&thumb=Y,무료
1075,전시/미술,2025 국제섬유&패션전시회,2025-02-17~2025-02-19,DDP 아트홀 1관,누구나,등록시 무료관람,https://ddp.or.kr/index.html?menuno=239&siteno=2&bbsno=668&boardno=16&bbstopno=668&act=view&subno=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=60a6cda2d340450ab52fb1a0b882b1fe&thumb=Y,무료
1076,클래식,소프라노 김예은 독창회,2025-02-17~2025-02-17,세종체임버홀,7세 이상 관람 가능 (2018년 이전 출생자),"전석 20,000원",https://www.sejongpac.or.kr/portal/performance/performance/performTicket.do?performIdx=35980&menuNo=200320,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=fb4234cb374f4b13bfcc7b11b9f7a10a&thumb=Y,유료
1077,클래식,최시온 귀국 피아노 독주회,2025-02-17~2025-02-17,금호아트홀연세,미취학아동 불가,"전석 20,000원",https://www.kumhoarthall.com:448/designer/skin/01/detail.html?p_idx=24809&s_idx=11&vwY=2025&vwM=&se_idx=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=93731a17b7af463e8fb25e9332f498c4&thumb=Y,유료
1078,교육/체험,[답십리영화미디어아트센터] 1인미디어 AI로 29초 영상만들기 입문반,2025-02-16~2025-03-30,답십리영화미디어아트센터 3층 미디어교육실,누구나 가능 (AI를 배워 영상을 만들어 보고 싶은 누구나),"60,000원",http://ddmac.or.kr/sub04/sub01.php?type=view&uid=7238,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=52511dedc43a49d5996c557071ab9d26&thumb=Y,유료
1079,독주/독창회,홍빈 귀국 바이올린 독주회,2025-02-16~2025-02-16,예술의전당 인춘아트홀,초등학생 이상,"일반석 20,000원",https://blog.naver.com/clara32/223734180999,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=2d8c6a9fd1a748b7b2dc4b25b2ecea02&thumb=Y,유료
1080,클래식,앙상블 에스프리 제8회 정기연주회,2025-02-16~2025-02-16,예술의전당 IBK기업은행챔버홀,미취학아동 입장불가,"전석 30,000원",https://www.sac.or.kr/site/main/show/show_view?SN=70167,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=5e1884d685fa475aa1717870d476d1b3&thumb=Y,유료
1081,뮤지컬/오페라,[영등포문화재단] 오페라 갈라 콘서트 [Falling in love with Opera],2025-02-16~2025-02-16,영등포아트홀,초등학생(2018년 생) 이상,"전석 20,000원",https://www.ydpcf.or.kr/artexhibit/view.do?id=461,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=9777ea3f6923442faddc533f80e9e448&thumb=Y,유료
1082,교육/체험,[동대문문화재단] AR로 만나는 세상1 - AR로 만나는 동물캐릭터,2025-02-16~2025-02-16,답십리영화미디어아트센터 3층 문화예술학교,초등 전학년 및 학부모 1인 동반,"10,000원",https://www.dsnfilmart.or.kr/edu/program.php,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=4eb0ec39f3614ac8a45ed2cda153b1c2&thumb=Y,유료
1083,교육/체험,[서울시립 미술아카이브] 땡땡이 예술 상자,2025-02-15~2025-03-16,서울시립 미술아카이브 배움동 2층 모두의 교실,어린이,,https://sema.seoul.go.kr/kr/whatson/education/detail?acadmyEeNo=1371429,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=8e90096c0bfb40eba3b3a179da1b09a4&thumb=Y,무료
1084,교육/체험,2025년 아르코미술관 예술로(路)소풍 어린이 프로그램 [손끝으로 만나는 향기],2025-02-15~2025-03-15,아르코미술관 1층 공간열림,만 6~12세 어린이,,https://www.arko.or.kr/artcenter/board/view/521?bid=327&cid=715874,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=be7d665f72494c81bd0aaca38250f5ea&thumb=Y,무료
1085,영화,[동작문화재단] 문화다양성 확산 사업 [시민과 함께하는 다양성 영화제],2025-02-15~2025-02-26,까망돌도서관 지하 1층 공연장,15세 이상 지역주민 누구나,,https://www.idfac.or.kr/bbs/board.php?bo_table=gallery_info&wr_id=196,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=29dfb1c549c94d4784e6113832c45a18&thumb=Y,무료
1086,교육/체험,"문예북흥 No.11 김창일 - 해양민속학자 김창일, [물 만난 해양민속학자의 물고기 인문학]으로 물고기, 사람, 바다를 헤엄치다.",2025-02-15~2025-02-15,이호철북콘서트홀,누구나,"5,000원(선물과 간식 제공)",https://www.lbchmuseum.com/blank/mun-yebugheung-no-11-haeyangminsoghagja-gimchang-il,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=19314fb2635848a09ebbc5fa16e849cb&thumb=Y,유료
1087,클래식,[노원문화재단] 2025 노원구립청소년교향악단 정기연주회,2025-02-15~2025-02-15,노원문화예술회관 대공연장,5세 이상,,https://www.nowonarts.kr/html/pe/performancedetail.php?param_url=https%3A%2F%2Fwww.nowonarts.kr%2Fhtml%2Fpe%2Fperformanceinfo.php%3F%26cate%3D%26skin%3D%26search_state%3D1%26search_syear%3D%26search_smonth%3D%26search_eyear%3D%26search_emonth%3D%26search_order%3D%26search_startPage%3D&idx=420,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=27f034994e134b20ad16c342d728cd3e&thumb=Y,무료
1088,클래식,앙상블 클랑 정기연주회,2025-02-15~2025-02-15,예술의전당 IBK기업은행챔버홀,초등학생 이상,일반석 3만원,https://blog.naver.com/clara32/223725989675,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=558a16193842405b9920ed0feabb88a4&thumb=Y,유료
1089,교육/체험,[서울생활문화센터 서교] 2025 청년작가살롱 - 청년강사육성프로그램,2025-02-15~2025-02-15,서울생활문화센터 서교 연습실4,누구나,,https://www.seogyocenter.or.kr/programnow/?idx=504,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=60076d6585d24ca4be47ab00eaaa2675&thumb=Y,무료
1090,클래식,[서울시립교향악단] SM CLASSICS LIVE 2025 with 서울시립교향악단②,2025-02-15~2025-02-15,롯데콘서트홀,초등학생 이상 입장 (미취학아동 입장불가),"R석 16만5천원, S석 13만2천원, A석 11만원, B석 8만8천원",https://www.seoulphil.or.kr/perf/view?perfNo=6611&calendarDate=&langCd=ko&menuFlag=MFLG0001,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=9da0bfe97d4e451388ccd2947748dd4e&thumb=Y,유료
1091,교육/체험,[서울시립과학관] 권오철 작가와 함께하는 [인생 버킷리스트 2nd] 울프크릭 크레이터 토크쇼,2025-02-15~2025-02-15,서울시립과학관 2층 B전시실 내 3D 스페이스,초등 1학년 ~ 성인,,https://science.seoul.go.kr/board/normal/read?menuId=21&bbsId=1&searchBbsCd=normal&searchSeq=1753&curPage=1&searchType=title&searchWord=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=e18fb35b43d54713aeb26e0a86a2223d&thumb=Y,무료
1092,교육/체험,[서울아트책보고] 강수인 작가 출간 기념 북토크,2025-02-15~2025-02-15,서울아트책보고 열린무대,누구나,,https://artbookbogo.kr/seoul/menu/10024/program/30009/cultureDetail.do?currentPageNo=1&cultureIdx=19117&searchCultureTypeCd=ALL&searchOperStatusCd=ALL,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=a12fee1917ff42ee9fc17caafe62533f&thumb=Y,무료
1093,독주/독창회,제니윤 바이올린 독주회,2025-02-15~2025-02-15,세종체임버홀,6세 이상 관람 가능 (2019년 이전 출생자),"R석 50,000원 S석 30,000원",https://www.sejongpac.or.kr/portal/performance/performance/performTicket.do?performIdx=35971&menuNo=200320,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=a6d1e90455c24e1fa18e282875cc92d8&thumb=Y,유료
1094,뮤지컬/오페라,[강서문화원] 라디오페라 [리골레토],2025-02-15~2025-02-15,강서아트리움 아리홀,만 7세 이상 (미취학 아동 입장 불가),,https://culture.gangseo.seoul.kr/gsfc/culture/gsculture/perform/view.do?cultureSn=133&menuNo=800064,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=565d58dfa7f147c8b0edcce7f571ebeb&thumb=Y,무료
1095,교육/체험,[서울문화예술교육센터 양천] 모두의 아뜰리에-종이로 그리는 달력그림,2025-02-14~2025-04-26,서울문화예술교육센터 양천 1층,누구나,,https://www.instagram.com/p/DFuTrRqqPCK/?img_index=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=cdfdaa6e4b9f46b6bc5d7144ab15945c&thumb=Y,무료
1096,교육/체험,[서울문화예술교육센터 양천] 2~4월 상설 예술교육 프로그램 [모두의 아뜰리에] : 종이로 그리는 달력그림,2025-02-14~2025-04-26,서울문화예술교육센터 양천 1층,누구나,,https://www.sfac.or.kr/artspace/artspace/arteducation_notice.do?cbIdx=983&bcIdx=136311&type=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=41d2712de92c43e6a15a3a5d6da91261&thumb=Y,무료
1097,전시/미술,[DDP 쇼룸 × 쿠키런: 킹덤] 진리와 거짓의 게임 展,2025-02-14~2025-03-16,DDP 쇼룸(디자인랩 1F DDP 쇼룸 스테이지),누구나,,https://ddp.or.kr/index.html?menuno=239&siteno=2&bbsno=537&boardno=15&bbstopno=537&act=view&subno=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=92b97d2379d146cc8b005d748195cbe5&thumb=Y,무료
1098,뮤지컬/오페라,[노원문화재단] 2025 노원어린이극장 공동기획 공연 가족 뮤지컬 [알사탕],2025-02-14~2025-03-03,노원어린이극장,24개월 이상,"전석 60,000원",https://www.nowonarts.kr/html/pe/performancedetail.php?param_url=&idx=418,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=6e3b9f2cbd544729a7e88be20f569238&thumb=Y,유료
1099,뮤지컬/오페라,[구로문화재단] 제10회 구로청소년 뮤지컬단 온마을 정기공연 - 뮤지컬 소로(좁은길),2025-02-14~2025-02-15,구로아트밸리 예술극장,8세 이상,,https://www.guroartsvalley.or.kr/user/performance/performanceView.do?performanceSeq=3821&page=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=6bc34ddabe7b4e51a16b075c2fae5ff6&thumb=Y,무료
1100,클래식,아코르 앙상블 제14회 정기연주회 ,2025-02-14~2025-02-14,세종문화회관 체임버홀,초등학교 이상 관람가,"전석 30,000원(학생 20,000원)",https://blog.naver.com/clara32/223728775670,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=724cb613d41349f9b4095166a59ba84e&thumb=Y,유료
1101,무용,[마포문화재단] 2025 M 발레시리즈 발레 [프란츠 리스트의 밤],2025-02-14~2025-02-14,마포아트센터  아트홀맥,8세이상 관람가능(미취학아동입장불가)," R석 30,000원 S석 20,000원",https://www.mfac.or.kr/performance/whole_view.jsp?sc_b_category=17&sc_b_code=BOARD_1207683401&pk_seq=2454&page=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=33ccc54cd5a24a9784b1ff5da05d9a25&thumb=Y,유료
1102,기타,[한성백제박물관] 한국고대사학회 공동주최 학술회의 [고대사 연구 방법론의 새로운 모색과 확대 -디지털과 고대사],2025-02-14~2025-02-14,한성백제박물관 한성백제홀,관심있는 누구나,,https://baekjemuseum.seoul.go.kr/board/index.jsp?boardid=SBM0501000000&mmode=content&mpid=SBM0501000000&skin=notice&pid=22522&cpage=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=9ba6a7dbb3f04c1196fa0c8ee29a0d06&thumb=Y,무료
1103,클래식,[서울시립교향악단] 2025 서울시향 아주 특별한 콘서트①,2025-02-14~2025-02-14,예술의전당 콘서트홀,초등학생 이상,"R석 165,000원 / S석 132,000원 / A석 110,000원 / B석 88,000원",https://www.seoulphil.or.kr/perf/view?perfNo=6609&calendarDate=&langCd=ko&menuFlag=MFLG0001,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=6989a708869746f8903e6a60ead0da68&thumb=Y,유료
1104,교육/체험,[서울시립미술관] 김성환 개인전 《Ua a‘o ‘ia ‘o ia e ia 우아 아오 이아 오 이아 에 이아》 연계 강연 프로그램,2025-02-14~2025-02-14,서울시립미술관 서소문본관,청소년 성인,,https://sema.seoul.go.kr/kr/whatson/event/detail?evtNo=1372151,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=5a19c2ef808e4323b6fd4a37a01696d6&thumb=Y,무료
